UID,YSS Category (for shivam's reference),URLs for testing before redirection,YSS Old URL (Redirection FROM),YSS New URL (Redirection TO)
987670,OIS,https://test.yssofindia.org/teachings-library/discovering-our-immortal-nature-by-swami-jayananda-giri,/blog/discovering-our-immortal-nature-by-swami-jayananda-giri,/teachings-library/discovering-our-immortal-nature-by-swami-jayananda-giri
987664,OIS,https://test.yssofindia.org/teachings-library/change-yourself-through-yoga-international-day-of-yoga-talk-and-guided-meditation-by-ranjana-mai,/blog/change-yourself-through-yoga-international-day-of-yoga-talk-and-guided-meditation-by-ranjana-mai,/teachings-library/change-yourself-through-yoga-international-day-of-yoga-talk-and-guided-meditation-by-ranjana-mai
987665,OIS,https://test.yssofindia.org/teachings-library/the-eternal-love-of-god-by-priya-mai,/blog/the-eternal-love-of-god-by-priya-mai,/teachings-library/the-eternal-love-of-god-by-priya-mai
987666,OIS,https://test.yssofindia.org/teachings-library/the-kriya-yoga-path-of-divine-living-by-swami-chidananda-giri,/blog/the-kriya-yoga-path-of-divine-living-by-swami-chidananda-giri,/teachings-library/the-kriya-yoga-path-of-divine-living-by-swami-chidananda-giri
987667,OIS,https://test.yssofindia.org/teachings-library/overcoming-fears-and-mental-ruts-using-the-mind-to-free-the-mind-by-swami-govindananda-giri,/blog/overcoming-fears-and-mental-ruts-using-the-mind-to-free-the-mind-by-swami-govindananda-giri,/teachings-library/overcoming-fears-and-mental-ruts-using-the-mind-to-free-the-mind-by-swami-govindananda-giri
987668,OIS,https://test.yssofindia.org/teachings-library/taking-control-of-your-lifes-destiny-by-swami-vishwananda-giri,/blog/taking-control-of-your-lifes-destiny-by-swami-vishwananda-giri,/teachings-library/taking-control-of-your-lifes-destiny-by-swami-vishwananda-giri
987669,OIS,https://test.yssofindia.org/teachings-library/do-we-live-one-or-many-lives-by-swami-padmananda-giri,/blog/do-we-live-one-or-many-lives-by-swami-padmananda-giri,/teachings-library/do-we-live-one-or-many-lives-by-swami-padmananda-giri
987644,OIS,https://test.yssofindia.org/teachings-library/the-mother-aspect-of-god-by-swami-anandamoy-giri,/blog/the-mother-aspect-of-god-by-swami-anandamoy-giri,/teachings-library/the-mother-aspect-of-god-by-swami-anandamoy-giri
987645,OIS,https://test.yssofindia.org/teachings-library/change-your-habits-by-swami-anantananda-giri,/blog/change-your-habits-by-swami-anantananda-giri,/teachings-library/change-your-habits-by-swami-anantananda-giri
987646,OIS,https://test.yssofindia.org/teachings-library/the-true-meaning-of-salvation-by-swami-nakulananda-giri,/blog/the-true-meaning-of-salvation-by-swami-nakulananda-giri,/teachings-library/the-true-meaning-of-salvation-by-swami-nakulananda-giri
987647,YSS OIS,https://test.yssofindia.org/teachings-library/peace-and-prosperity-through-kriya-yoga-by-swami-ishwarananada-giri,/blog/peace-and-prosperity-through-kriya-yoga-by-swami-ishwarananada-giri,/teachings-library/peace-and-prosperity-through-kriya-yoga-by-swami-ishwarananada-giri
987648,OIS,https://test.yssofindia.org/teachings-library/choosing-to-be-happy-by-swami-ishtananda-giri,/blog/choosing-to-be-happy-by-swami-ishtananda-giri,/teachings-library/choosing-to-be-happy-by-swami-ishtananda-giri
987649,OIS,https://test.yssofindia.org/teachings-library/look-always-to-the-light-by-sri-mrinalini-mata,/blog/look-always-to-the-light-by-sri-mrinalini-mata,/teachings-library/look-always-to-the-light-by-sri-mrinalini-mata
987650,OIS,https://test.yssofindia.org/teachings-library/forging-divine-consciousness-in-the-fires-of-daily-existence-by-swami-bhumananda-giri,/blog/forging-divine-consciousness-in-the-fires-of-daily-existence-by-swami-bhumananda-giri,/teachings-library/forging-divine-consciousness-in-the-fires-of-daily-existence-by-swami-bhumananda-giri
987651,YSS OIS,https://test.yssofindia.org/teachings-library/making-god-the-companion-of-our-lives-by-swami-pavitrananda-giri,/blog/making-god-the-companion-of-our-lives-by-swami-pavitrananda-giri,/teachings-library/making-god-the-companion-of-our-lives-by-swami-pavitrananda-giri
987652,OIS,https://test.yssofindia.org/teachings-library/growing-in-faith-and-unconditional-love-by-bhakti-mai,/blog/growing-in-faith-and-unconditional-love-by-bhakti-mai,/teachings-library/growing-in-faith-and-unconditional-love-by-bhakti-mai
987653,OIS,https://test.yssofindia.org/teachings-library/experiencing-the-nature-of-the-soul-by-swami-saralananda-giri,/blog/experiencing-the-nature-of-the-soul-by-swami-saralananda-giri,/teachings-library/experiencing-the-nature-of-the-soul-by-swami-saralananda-giri
987654,OIS,https://test.yssofindia.org/teachings-library/the-purpose-of-life-by-swami-satyananda-giri,/blog/the-purpose-of-life-by-swami-satyananda-giri,/teachings-library/the-purpose-of-life-by-swami-satyananda-giri
838316,OIS,https://test.yssofindia.org/teachings-library/experiencing-the-grace-love-guidance-and-eternal-friendship-of-the-guru-by-swami-chidananda-giri,/blog/experiencing-the-grace-love-guidance-and-eternal-friendship-of-the-guru-by-swami-chidananda-giri,/teachings-library/experiencing-the-grace-love-guidance-and-eternal-friendship-of-the-guru-by-swami-chidananda-giri
876600,OIS,https://test.yssofindia.org/teachings-library/behind-the-physical-cosmos-a-world-of-light-and-energy-by-swami-prafullananda-giri,/blog/behind-the-physical-cosmos-a-world-of-light-and-energy-by-swami-prafullananda-giri,/teachings-library/behind-the-physical-cosmos-a-world-of-light-and-energy-by-swami-prafullananda-giri
866639,OIS,https://test.yssofindia.org/teachings-library/the-new-year-a-time-for-spiritual-renewal-by-swami-anandamoy-giri,/blog/the-new-year-a-time-for-spiritual-renewal-by-swami-anandamoy-giri,/teachings-library/the-new-year-a-time-for-spiritual-renewal-by-swami-anandamoy-giri
824265,OIS,https://test.yssofindia.org/teachings-library/the-way-to-lasting-peace-and-happiness-by-ranjana-mai,/blog/the-way-to-lasting-peace-and-happiness-by-ranjana-mai,/teachings-library/the-way-to-lasting-peace-and-happiness-by-ranjana-mai
